C,Si,Mn,P,S,Mo,Ni,Al,N,Nb,V,B,Ti,Cr,Ce,Cu,Ca,Zr,O,ELON
0.14,0.35,1.56,0.01,0.015,0,0,0.03,0.009,0,0,0,0,0,0,0,0,0,0,30
0.15,0.31,1.41,0.01,0.015,0,0,0.02,0.013,0,0.096,0,0,0,0,0,0,0,0,23
0.21,0.28,1.37,0.033,0.021,0,0,0,0.0065,0,0,0,0,0,0,0,0,0,0,27
0.21,0.28,1.37,0.033,0.021,0,0,0,0.0065,0,0,0,0,0,0,0,0,0,0,27
0.21,0.28,1.37,0.033,0.021,0,0,0,0.0065,0,0,0,0,0,0,0,0,0,0,31
0.21,0.28,1.37,0.033,0.021,0,0,0,0.0065,0,0,0,0,0,0,0,0,0,0,28
0.21,0.28,1.37,0.033,0.021,0,0,0,0.0065,0,0,0,0,0,0,0,0,0,0,28
0.21,0.28,1.37,0.033,0.021,0,0,0,0.0065,0,0,0,0,0,0,0,0,0,0,33
0.21,0.28,1.37,0.033,0.021,0,0,0,0.0065,0,0,0,0,0,0,0,0,0,0,30
0.21,0.28,1.37,0.033,0.021,0,0,0,0.0065,0,0,0,0,0,0,0,0,0,0,29
0.21,0.28,1.37,0.033,0.021,0,0,0,0.0065,0,0,0,0,0,0,0,0,0,0,29
0.207,0.22,1.28,0.001,0.006,0.52,0.61,0.015,0.005,0,0,0,0,0,0,0.03,0,0,0,29.5
0.203,0.23,1.34,0.001,0.015,0.53,0.5,0.015,0.005,0,0,0,0,0,0,0.01,0,0,0,29
0.2,0.22,1.29,0.001,0.027,0.51,0.62,0.03,0.005,0,0,0,0,0,0,0.04,0,0,0,28.9
0.214,0.22,1.29,0.001,0.035,0.51,0.61,0.012,0.005,0,0,0,0,0,0,0.03,0,0,0,28.1
0.06,0.4,1.5,0.015,0.005,0.02,0.07,0.025,0.007,0,0.1,0.0003,0,0.08,0,0.07,0,0,0,24
0.06,0.4,1.5,0.015,0.005,0.02,0.07,0.025,0.007,0,0.1,0.0003,0,0.08,0,0.07,0,0,0,17
0.06,0.4,1.5,0.015,0.005,0.02,0.07,0.025,0.02,0,0.1,0.0003,0,0.08,0,0.07,0,0,0,24
0.06,0.4,1.5,0.015,0.005,0.02,0.07,0.025,0.02,0,0.1,0.0003,0,0.08,0,0.07,0,0,0,15
0.06,0.4,1.5,0.015,0.005,0.02,0.07,0.025,0.02,0,0.1,0.0003,0,0.08,0,0.07,0,0,0,10
0.06,0.4,1.5,0.015,0.005,0.02,0.07,0.025,0.02,0,0.1,0.0003,0,0.08,0,0.07,0,0,0,20
0.06,0.4,1.5,0.015,0.005,0.02,0.07,0.025,0.02,0,0.1,0.0003,0,0.08,0,0.07,0,0,0,24
0.06,0.4,1.5,0.015,0.005,0.02,0.07,0.025,0.02,0,0.1,0.0003,0,0.08,0,0.07,0,0,0,19
0.06,0.4,1.5,0.015,0.005,0.02,0.07,0.025,0.02,0,0.1,0.0003,0,0.08,0,0.07,0,0,0,20
0.06,0.4,1.5,0.015,0.005,0.02,0.07,0.025,0.017,0,0.1,0.0003,0.01,0.08,0,0.07,0,0,0,22
0.06,0.4,1.5,0.015,0.005,0.02,0.07,0.025,0.017,0,0.1,0.0003,0.01,0.08,0,0.07,0,0,0,26
0.06,0.4,1.5,0.015,0.005,0.02,0.07,0.025,0.017,0,0.1,0.0003,0.01,0.08,0,0.07,0,0,0,18
0.06,0.4,1.5,0.015,0.005,0.02,0.07,0.025,0.017,0,0.1,0.0003,0.01,0.08,0,0.07,0,0,0,27
0.06,0.4,1.5,0.015,0.005,0.02,0.07,0.025,0.01,0,0.1,0.0003,0,0.08,0,0.07,0,0.008,0,25
0.06,0.4,1.5,0.015,0.005,0.02,0.07,0.025,0.01,0,0.1,0.0003,0,0.08,0,0.07,0,0.008,0,24
0.06,0.4,1.5,0.015,0.005,0.02,0.07,0.025,0.01,0,0.1,0.0003,0,0.08,0,0.07,0,0.008,0,26
0.06,0.4,1.5,0.015,0.005,0.02,0.07,0.025,0.01,0,0.1,0.0003,0,0.08,0,0.07,0,0.008,0,25
0.06,0.4,1.5,0.015,0.005,0.02,0.07,0.025,0.01,0,0.1,0.0003,0,0.08,0,0.07,0,0.008,0,22
0.35,0.18,0.52,0.006,0.005,0.66,3.26,0,0,0,0.22,0,0,0.88,0,0.23,0,0,0,16
0.29,0.15,0.52,0.006,0.006,0.57,3.1,0,0,0,0.14,0,0,0.77,0,0.25,0,0,0,18
0.29,0.12,0.53,0.002,0.004,0.57,3.09,0,0,0,0.16,0,0,0.8,0,0.25,0,0,0,21
0.39,0.53,1.27,0.016,0.022,0,0,0.016,0.0048,0,0,0,0,0,0,0,0,0,0,17
0.39,0.53,1.27,0.016,0.022,0,0,0.016,0.0048,0,0,0,0,0,0,0,0,0,0,17
0.39,0.53,1.27,0.016,0.022,0,0,0.016,0.0048,0,0,0,0,0,0,0,0,0,0,18
0.38,0.52,1.28,0.016,0.027,0,0,0.007,0.0056,0,0.08,0,0,0,0,0,0,0,0,19
0.38,0.52,1.28,0.016,0.027,0,0,0.007,0.0056,0,0.08,0,0,0,0,0,0,0,0,17
0.38,0.52,1.28,0.016,0.027,0,0,0.007,0.0056,0,0.08,0,0,0,0,0,0,0,0,19
0.11,0.21,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
0.06,0.11,0.28,0.012,0,0,0,0.02,0.0044,0,0,0,0,0,0,0,0,0,0,41
0.25,0.6,1,0.03,0.03,0.15,0.8,0,0,0,0.03,0,0,0.25,0,0,0,0,0,22
0.25,0.6,1,0.035,0.035,0.15,0.8,0,0,0,0.03,0,0,0.25,0,0,0,0,0,14
0.21,0.28,1.37,0.033,0.021,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,27
0.21,0.28,1.37,0.033,0.021,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,27
0.21,0.28,1.37,0.033,0.021,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,28
0.21,0.28,1.37,0.033,0.021,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,28
0.21,0.28,1.37,0.033,0.021,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,30
0.21,0.28,1.37,0.033,0.021,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,29
0.16,0.133,0.623,0.008,0.04,0,0,0.036,0,0,0,0,0,0,0,0.303,0,0,0,19
0.158,0.14,0.607,0.1,0.042,0,0,0.043,0,0,0,0,0,0,0,0.301,0,0,0,19
0.16,0.157,0.599,0.28,0.04,0,0,0.05,0,0,0,0,0,0,0,0.3,0,0,0,5
0.156,0.143,0.63,0.52,0.039,0,0,0.049,0,0,0,0,0,0,0,0.312,0,0,0,5
0.162,0.13,0.605,0.68,0.04,0,0,0.042,0,0,0,0,0,0,0,0.3,0,0,0,3
0.06,0.26,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
0.06,0.27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
0.09,0.17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
0.21,0.29,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
0.38,0.2,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
0.193,0.19,1.35,0,0,0.482,0.922,0.009,0.005,0,0,0,0,0.128,0,0,0,0,0,30
0.2,0.185,1.42,0,0,0.485,0.926,0.013,0.014,0,0,0,0,0.127,0,0,0,0,0,30
0.198,0.201,1.36,0,0,0.484,0.928,0.019,0.015,0,0,0,0,0.127,0,0,0,0,0,31
0.35,0.27,1.56,0.016,0.016,0.03,0,0.026,0,0,0.17,0,0,0.14,0,0.27,0,0,0,18.7
0.35,0.27,1.56,0.016,0.016,0.03,0,0.026,0,0,0.17,0,0,0.14,0,0.27,0,0,0,19.3
0.34,0.32,1.2,0.012,0.013,0.03,0,0.04,0,0,0.17,0,0,0.12,0,0.22,0,0,0,20.5
0.34,0.32,1.2,0.012,0.013,0.03,0,0.04,0,0,0.17,0,0,0.12,0,0.22,0,0,0,22.2
0.193,0.19,1.35,0,0,0.482,0.922,0.009,0.005,0,0,0,0,0.128,0,0,0,0,0,30
0.2,0.185,1.42,0,0,0.485,0.926,0.013,0.014,0,0,0,0,0.127,0,0,0,0,0,30
0.198,0.201,1.36,0,0,0.484,0.928,0.019,0.015,0,0,0,0,0.127,0,0,0,0,0,31
0.21,0.28,1.37,0.033,0.021,0,0,0,0.0065,0,0,0,0,0,0,0,0,0,0,27
0.21,0.28,1.37,0.033,0.021,0,0,0,0.0065,0,0,0,0,0,0,0,0,0,0,27
0.21,0.28,1.37,0.033,0.021,0,0,0,0.0065,0,0,0,0,0,0,0,0,0,0,31
0.21,0.28,1.37,0.033,0.021,0,0,0,0.0065,0,0,0,0,0,0,0,0,0,0,28
0.21,0.28,1.37,0.033,0.021,0,0,0,0.0065,0,0,0,0,0,0,0,0,0,0,28
0.21,0.28,1.37,0.033,0.021,0,0,0,0.0065,0,0,0,0,0,0,0,0,0,0,33
0.21,0.28,1.37,0.033,0.021,0,0,0,0.0065,0,0,0,0,0,0,0,0,0,0,30
0.21,0.28,1.37,0.033,0.021,0,0,0,0.0065,0,0,0,0,0,0,0,0,0,0,29
0.21,0.28,1.37,0.033,0.021,0,0,0,0.0065,0,0,0,0,0,0,0,0,0,0,29
0.27,0.35,1.4,0.012,0.009,0.02,0.08,0.025,0.016,0,0.2,0,0,0.22,0,0.09,0,0,0,17.5
0.25,0.33,1.4,0.022,0.03,0.018,0.011,0,0,0,0,0,0,0.15,0,0,0,0,0,23.3
0.25,0.33,1.4,0.022,0.03,0.018,0.011,0,0,0,0,0,0,0.15,0,0,0,0,0,13.7
0.4,0.56,1.49,0.016,0.042,0,0,0,0.009,0,0.114,0,0.014,0,0,0,0,0,0,18
0.4,0.56,1.49,0.016,0.042,0,0,0,0.009,0,0.114,0,0.014,0,0,0,0,0,0,18
0.4,0.56,1.49,0.016,0.042,0,0,0,0.009,0,0.114,0,0.014,0,0,0,0,0,0,16
0.35,0.18,0.52,0.006,0.005,0.66,3.26,0,0,0,0.22,0,0,0.88,0,0.23,0,0,0,16
0.29,0.15,0.52,0.006,0.006,0.57,3.1,0,0,0,0.14,0,0,0.77,0,0.25,0,0,0,18
0.29,0.12,0.53,0.002,0.004,0.57,3.09,0,0,0,0.16,0,0,0.8,0,0.25,0,0,0,21
0.24,0.06,0.3,0.005,0.009,0.19,3.12,0,0,0,0.11,0,0,1.5,0,0,0,0,0,25
0.24,0.06,0.3,0.005,0.009,0.19,3.12,0,0,0,0.11,0,0,1.5,0,0,0,0,0,16
0.19,0.21,1.28,0.012,0.013,0.52,0.64,0,0,0,0,0,0,0,0,0,0,0,0,27
0.12,0.21,1.27,0.01,0.01,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,36.1
0.13,0.15,1.15,0.01,0.01,0,0,0.04,0,0,0.09,0,0,0,0,0,0,0,0,37.1
0.12,0.21,1.12,0.01,0.01,0,0,0.02,0,0,0,0,0.08,0,0,0,0,0,0,34.4
0.11,0.21,1.3,0.01,0.01,0,0,0.05,0,0,0.07,0,0.07,0,0,0,0,0,0,32
0.17,0.23,1.33,0.01,0.007,0.03,0.14,0.02,0,0,0,0,0,0.09,0,0.17,0,0,0,29.9
0.15,0.26,1.33,0.01,0.034,0.03,0.15,0.02,0,0,0,0,0,0.1,0,0.17,0,0,0,30.4
0.1,0.34,1.33,0.011,0.008,0.01,0.05,0.06,0,0,0,0,0,0.06,0.015,0.07,0,0,0,33.3
0.193,0.19,1.35,0,0,0.482,0.922,0.009,0,0,0,0,0,0.128,0,0,0,0,0,30
0.099,0.196,0.701,0,0,0.962,2.5,0.023,0,0,0,0,0,0.143,0,0,0,0,0,31
0.06,0.22,1.55,0,0,1,1.46,0.023,0,0,0,0,0,0.15,0,0,0,0,0,34
0.18,0.24,1.42,0.017,0.004,0,0.84,0.014,0,0,0,0,0,0.12,0,0.14,0,0,0,22.1
0.18,0.08,1.43,0.008,0.003,0,0.78,0.005,0,0,0,0,0,0.04,0,0.06,0,0,0,23.6
0.18,0.1,1.46,0.006,0.003,0,0.86,0.018,0,0,0,0,0,0.15,0,0.03,0,0,0,27.3
0.21,0.24,1.36,0.007,0.002,0,0.92,0.022,0,0,0,0,0,0.21,0,0.03,0,0,0,26.6
0.17,0.25,1.44,0.004,0.002,0,0.75,0.016,0,0,0,0,0,0.2,0,0.01,0,0,0,21.9
0.066,0.33,1.46,0.013,0.003,0.2,0,0.043,0.004,0,0.05,0,0,0,0,0,0,0,0,29
0.062,0.3,1.45,0.013,0.004,0.2,0,0.039,0.0038,0,0,0,0,0.2,0,0,0,0,0,30
0.22,0.35,1.13,0.013,0.011,0.002,0.025,0.043,0.005,0.001,0.002,0.0001,0.002,0.028,0,0.039,0,0,0,27
0.15,0.26,1.08,0.008,0.008,0.001,0.018,0.039,0.006,0.001,0.003,0.0001,0.001,0.017,0,0.009,0,0,0,29
0.17,0.29,0.82,0.015,0.014,0.003,0.021,0.003,0.003,0.001,0.002,0.0001,0,0.025,0,0.015,0,0,0,30
0.18,0.38,1.18,0.015,0.011,0.002,0.02,0.003,0.004,0.001,0.003,0.0001,0.001,0.023,0,0.011,0,0,0,30
0.15,0.21,0.86,0.013,0.015,0.002,0.021,0.002,0.004,0.001,0.003,0.0001,0.001,0.019,0,0.023,0,0,0,23
0.15,0.27,0.81,0.014,0.014,0.002,0.021,0.002,0.006,0.001,0.002,0.0001,0.001,0.016,0,0.013,0,0,0,28
0.17,0.36,1.16,0.019,0.008,0.004,0.022,0.002,0.003,0.001,0.002,0.0002,0.001,0.039,0,0.026,0,0,0,27
0.14,0.22,0.82,0.014,0.017,0.002,0.021,0.002,0.004,0.001,0.002,0.0001,0.001,0.022,0,0.02,0,0,0,29
0.13,0.22,0.83,0.024,0.011,0.002,0.019,0.001,0.004,0.001,0.002,0.0001,0.001,0.024,0,0.011,0,0,0,27
0.13,0.22,0.81,0.016,0.018,0.004,0.019,0.004,0.003,0.001,0.002,0.0001,0.001,0.038,0,0.015,0,0,0,30
0.14,0.22,1.03,0.008,0.015,0.003,0.022,0.032,0.004,0.001,0.002,0.0001,0.001,0.023,0,0.012,0,0,0,27
0.092,0.2,1.41,0.005,0.004,0,0,0.039,0.0067,0.003,0.003,0.0003,0,0,0,0,0,0,0,37
0.084,0.21,1.42,0.005,0.002,0,0,0.031,0.0047,0.003,0.05,0.0004,0,0,0,0,0,0,0,40
0.094,0.21,1.44,0.005,0.003,0,0,0.029,0.0052,0.003,0.1,0.0005,0,0,0,0,0,0,0,34
0.16,0.27,1.26,0.016,0.008,0.003,0.02,0.01,0.0093,0.003,0.003,0,0.003,0.01,0,0.01,0,0,0.0071,34
0.16,0.27,1.27,0.016,0.008,0.003,0.02,0.014,0.0094,0.003,0.003,0,0.003,0.01,0,0.01,0,0,0.0096,36
0.16,0.27,1.26,0.016,0.008,0.003,0.02,0.01,0.0092,0.003,0.003,0,0.003,0.01,0,0.01,0,0,0.0078,34
0.15,0.23,1.29,0.016,0.008,0.003,0.02,0.013,0.0094,0.003,0.003,0,0.003,0.01,0,0.01,0,0,0.0061,37
0.16,0.24,1.3,0.016,0.008,0.003,0.02,0.013,0.0095,0.003,0.003,0,0.003,0.01,0,0.01,0,0,0.0067,35
0.16,0.33,1.45,0.017,0.009,0.003,0.03,0.028,0.011,0.003,0.003,0,0.003,0.04,0,0.01,0,0,0.0047,32
0.16,0.33,1.45,0.017,0.009,0.003,0.03,0.03,0.011,0.003,0.003,0,0.003,0.04,0,0.01,0,0,0.0051,30
0.16,0.32,1.44,0.017,0.009,0.003,0.03,0.026,0.011,0.003,0.003,0,0.003,0.04,0,0.01,0,0,0.0054,32
0.16,0.27,1.26,0.016,0.008,0.003,0.02,0.01,0.0093,0.003,0.003,0,0.003,0.01,0,0.01,0,0,0.0071,35
0.16,0.27,1.27,0.016,0.008,0.003,0.02,0.014,0.0094,0.003,0.003,0,0.003,0.01,0,0.01,0,0,0.0096,35
0.16,0.27,1.26,0.016,0.008,0.003,0.02,0.01,0.0092,0.003,0.003,0,0.003,0.01,0,0.01,0,0,0.0078,36
0.15,0.23,1.29,0.016,0.008,0.003,0.02,0.013,0.0094,0.003,0.003,0,0.003,0.01,0,0.01,0,0,0.0061,36
0.16,0.24,1.3,0.016,0.008,0.003,0.02,0.013,0.0095,0.003,0.003,0,0.003,0.01,0,0.01,0,0,0.0067,32
0.16,0.33,1.45,0.017,0.009,0.003,0.03,0.028,0.011,0.003,0.003,0,0.003,0.04,0,0.01,0,0,0.0047,35
0.16,0.33,1.45,0.017,0.009,0.003,0.03,0.03,0.011,0.003,0.003,0,0.003,0.04,0,0.01,0,0,0.0051,35
0.16,0.32,1.44,0.017,0.009,0.003,0.03,0.026,0.011,0.003,0.003,0,0.003,0.04,0,0.01,0,0,0.0054,34
0.068,0.37,1.4,0.014,0.005,0.02,0.07,0.025,0.02,0.003,0.1,0.0003,0.002,0.09,0,0.07,0,0,0.0096,19.5
0.068,0.37,1.4,0.014,0.005,0.02,0.07,0.025,0.02,0.003,0.1,0.0003,0.002,0.09,0,0.07,0,0,0.0096,20
0.068,0.37,1.4,0.014,0.005,0.02,0.07,0.025,0.02,0.003,0.1,0.0003,0.002,0.09,0,0.07,0,0,0.0096,24
0.065,0.47,1.44,0.015,0.006,0.02,0.07,0.026,0.017,0.003,0.1,0.0003,0.009,0.09,0,0.07,0,0,0.0058,26.5
0.065,0.47,1.44,0.015,0.006,0.02,0.07,0.026,0.017,0.003,0.1,0.0003,0.009,0.09,0,0.07,0,0,0.0058,18
0.065,0.47,1.44,0.015,0.006,0.02,0.07,0.026,0.017,0.003,0.1,0.0003,0.009,0.09,0,0.07,0,0,0.0058,22
0.124,0.32,1.18,0.02,0.01,0,0,0.032,0.0053,0.003,0,0,0,0,0,0,0,0,0,37
0.2,0.34,1.19,0.02,0.013,0,0,0.035,0.005,0.003,0,0,0,0,0,0,0,0,0,34
0.071,0.26,1.27,0.017,0.009,0,0,0.033,0.0069,0.004,0,0,0,0,0,0,0,0,0,40
0.1,0.25,1.41,0.011,0.003,0,0.02,0.032,0.0055,0.005,0.029,0,0,0,0,0.02,0,0,0,35
0.1,0.26,1.45,0.011,0.003,0,0.016,0.025,0.0052,0.005,0.054,0,0,0,0,0.02,0,0,0,35
0.14,0.26,1.43,0.011,0.003,0,0.02,0.029,0.005,0.005,0.05,0,0,0,0,0.02,0,0,0,32
0.11,0.26,1.4,0.009,0.003,0,0.02,0.03,0.009,0.005,0.028,0,0,0,0,0.02,0,0,0,37
0.16,0.26,1.45,0.011,0.003,0.005,0.02,0.04,0.0051,0.005,0.026,0,0,0.02,0,0.02,0,0,0,34
0.16,0.26,1.45,0.011,0.003,0.005,0.02,0.038,0.0056,0.005,0.043,0,0,0.02,0,0.02,0,0,0,32
0.15,0.29,1.47,0.013,0.003,0.005,0.02,0.038,0.012,0.005,0.027,0,0,0.02,0,0.02,0,0,0,33
