C,Si,Mn,P,S,Mo,Ni,Al,N,Nb,V,B,Ti,Cr,Ce,Cu,Ca,Zr,O,YS
0.14,0.35,1.56,0.01,0.015,0,0,0.03,0.009,0,0,0,0,0,0,0,0,0,0,272
0.15,0.31,1.41,0.01,0.015,0,0,0.02,0.013,0,0.096,0,0,0,0,0,0,0,0,378
0.054,0.03,0.54,0,0,0,0,0,0.005,0,0,0,0.075,0,0,0,0,0,0,412
0.061,0.03,0.56,0,0,0,0,0,0.005,0,0,0,0.092,0,0,0,0,0,0,410
0.055,0.03,0.55,0,0,0,0,0,0.005,0,0,0,0.092,0,0,0,0,0,0,395
0.054,0.03,0.54,0,0,0,0,0,0.005,0,0,0,0.092,0,0,0,0,0,0,428
0.048,0.03,0.53,0,0,0,0,0,0.004,0,0,0,0.11,0,0,0,0,0,0,430
0.052,0.03,0.55,0,0,0,0,0,0.004,0,0,0,0.033,0,0,0,0,0,0,400
0.052,0.03,0.53,0,0,0,0,0,0.005,0,0,0,0.065,0,0,0,0,0,0,440
0.054,0.03,0.55,0,0,0,0,0,0.004,0,0,0,0.06,0,0,0,0,0,0,418
0.052,0.03,0.55,0,0,0,0,0,0.005,0,0,0,0.052,0,0,0,0,0,0,418
0.051,0.03,0.52,0,0,0,0,0,0.004,0,0,0,0.042,0,0,0,0,0,0,412
0.045,0.03,0.49,0,0,0,0,0,0.004,0,0,0,0.092,0,0,0,0,0,0,388
0.069,0.03,0.55,0,0,0,0,0,0.004,0,0,0,0.08,0,0,0,0,0,0,464
0.075,0.03,0.5,0,0,0,0,0,0.006,0,0,0,0.1,0,0,0,0,0,0,505
0.065,0.03,0.49,0,0,0,0,0,0.006,0,0,0,0.082,0,0,0,0,0,0,395
0.065,0.03,0.47,0,0,0,0,0,0.006,0,0,0,0.09,0,0,0,0,0,0,398
0.06,0.03,0.45,0,0,0,0,0,0.007,0,0,0,0.18,0,0,0,0,0,0,483
0.009,0.03,0.96,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,197
0.03,0.17,0.55,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,169
0.03,0.17,0.55,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,213
0.03,0.17,0.55,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,357
0.031,0.05,0.41,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,165
0.031,0.05,0.41,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,224
0.031,0.05,0.41,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,357
0.031,0.03,0.59,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,228
0.02,0.09,0.42,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,192
0.02,0.09,0.42,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,185
0.02,0.09,0.42,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,182
0.02,0.03,0.35,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,209
0.02,0.03,0.35,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,189
0.02,0.03,0.35,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,182
0.02,0.01,1.08,0,0,0,0,0,0.0124,0,0,0,0,0,0,0,0,0,0,239
0.02,0.01,1.08,0,0,0,0,0,0.0124,0,0,0,0,0,0,0,0,0,0,203
0.02,0.01,1.08,0,0,0,0,0,0.0124,0,0,0,0,0,0,0,0,0,0,196
0.02,0.02,0.81,0,0,0,0,0,0.0055,0,0,0,0,0,0,0,0,0,0,200
0.02,0.02,0.81,0,0,0,0,0,0.0055,0,0,0,0,0,0,0,0,0,0,182
0.02,0.02,0.81,0,0,0,0,0,0.0055,0,0,0,0,0,0,0,0,0,0,172
0.02,0.07,0.5,0,0,0,0,0,0.007,0,0,0,0,0,0,0,0,0,0,209
0.02,0.07,0.5,0,0,0,0,0,0.007,0,0,0,0,0,0,0,0,0,0,183
0.02,0.07,0.5,0,0,0,0,0,0.007,0,0,0,0,0,0,0,0,0,0,179
0.02,0.01,0.31,0,0,0,0,0,0.0075,0,0,0,0,0,0,0,0,0,0,228
0.02,0.01,0.31,0,0,0,0,0,0.0075,0,0,0,0,0,0,0,0,0,0,208
0.02,0.01,0.31,0,0,0,0,0,0.0075,0,0,0,0,0,0,0,0,0,0,193
0.21,0.28,1.37,0.033,0.021,0,0,0,0.0065,0,0,0,0,0,0,0,0,0,0,375
0.21,0.28,1.37,0.033,0.021,0,0,0,0.0065,0,0,0,0,0,0,0,0,0,0,390
0.21,0.28,1.37,0.033,0.021,0,0,0,0.0065,0,0,0,0,0,0,0,0,0,0,405
0.21,0.28,1.37,0.033,0.021,0,0,0,0.0065,0,0,0,0,0,0,0,0,0,0,390
0.21,0.28,1.37,0.033,0.021,0,0,0,0.0065,0,0,0,0,0,0,0,0,0,0,401
0.21,0.28,1.37,0.033,0.021,0,0,0,0.0065,0,0,0,0,0,0,0,0,0,0,479
0.21,0.28,1.37,0.033,0.021,0,0,0,0.0065,0,0,0,0,0,0,0,0,0,0,425
0.21,0.28,1.37,0.033,0.021,0,0,0,0.0065,0,0,0,0,0,0,0,0,0,0,410
0.21,0.28,1.37,0.033,0.021,0,0,0,0.0065,0,0,0,0,0,0,0,0,0,0,502
0.207,0.22,1.28,0.001,0.006,0.52,0.61,0.015,0.005,0,0,0,0,0,0,0.03,0,0,0,650
0.203,0.23,1.34,0.001,0.015,0.53,0.5,0.015,0.005,0,0,0,0,0,0,0.01,0,0,0,645
0.2,0.22,1.29,0.001,0.027,0.51,0.62,0.03,0.005,0,0,0,0,0,0,0.04,0,0,0,640
0.214,0.22,1.29,0.001,0.035,0.51,0.61,0.012,0.005,0,0,0,0,0,0,0.03,0,0,0,644
0.094,0.32,1.34,0.011,0.0065,0,0,0.031,0.006,0,0,0,0,0,0.02,0,0,0,0,360
0.094,0.32,1.34,0.011,0.0065,0,0,0.031,0.006,0,0,0,0,0,0.02,0,0,0,0,454
0.094,0.32,1.34,0.011,0.0065,0,0,0.031,0.006,0,0,0,0,0,0.02,0,0,0,0,480
0.094,0.32,1.34,0.011,0.0065,0,0,0.031,0.006,0,0,0,0,0,0.02,0,0,0,0,557
0.06,0.4,1.5,0.015,0.005,0.02,0.07,0.025,0.007,0,0.1,0.0003,0,0.08,0,0.07,0,0,0,493
0.06,0.4,1.5,0.015,0.005,0.02,0.07,0.025,0.007,0,0.1,0.0003,0,0.08,0,0.07,0,0,0,560
0.06,0.4,1.5,0.015,0.005,0.02,0.07,0.025,0.02,0,0.1,0.0003,0,0.08,0,0.07,0,0,0,557
0.06,0.4,1.5,0.015,0.005,0.02,0.07,0.025,0.02,0,0.1,0.0003,0,0.08,0,0.07,0,0,0,521
0.06,0.4,1.5,0.015,0.005,0.02,0.07,0.025,0.02,0,0.1,0.0003,0,0.08,0,0.07,0,0,0,466
0.06,0.4,1.5,0.015,0.005,0.02,0.07,0.025,0.02,0,0.1,0.0003,0,0.08,0,0.07,0,0,0,600
0.06,0.4,1.5,0.015,0.005,0.02,0.07,0.025,0.02,0,0.1,0.0003,0,0.08,0,0.07,0,0,0,527
0.06,0.4,1.5,0.015,0.005,0.02,0.07,0.025,0.02,0,0.1,0.0003,0,0.08,0,0.07,0,0,0,489
0.06,0.4,1.5,0.015,0.005,0.02,0.07,0.025,0.02,0,0.1,0.0003,0,0.08,0,0.07,0,0,0,518
0.06,0.4,1.5,0.015,0.005,0.02,0.07,0.025,0.017,0,0.1,0.0003,0.01,0.08,0,0.07,0,0,0,463
0.06,0.4,1.5,0.015,0.005,0.02,0.07,0.025,0.017,0,0.1,0.0003,0.01,0.08,0,0.07,0,0,0,459
0.06,0.4,1.5,0.015,0.005,0.02,0.07,0.025,0.017,0,0.1,0.0003,0.01,0.08,0,0.07,0,0,0,522
0.06,0.4,1.5,0.015,0.005,0.02,0.07,0.025,0.017,0,0.1,0.0003,0.01,0.08,0,0.07,0,0,0,461
0.06,0.4,1.5,0.015,0.005,0.02,0.07,0.025,0.01,0,0.1,0.0003,0,0.08,0,0.07,0,0.008,0,531
0.06,0.4,1.5,0.015,0.005,0.02,0.07,0.025,0.01,0,0.1,0.0003,0,0.08,0,0.07,0,0.008,0,524
0.06,0.4,1.5,0.015,0.005,0.02,0.07,0.025,0.01,0,0.1,0.0003,0,0.08,0,0.07,0,0.008,0,508
0.06,0.4,1.5,0.015,0.005,0.02,0.07,0.025,0.01,0,0.1,0.0003,0,0.08,0,0.07,0,0.008,0,416
0.06,0.4,1.5,0.015,0.005,0.02,0.07,0.025,0.01,0,0.1,0.0003,0,0.08,0,0.07,0,0.008,0,552
0.19,0.29,0.63,0.015,0.028,0,0,0.004,0.0061,0,0,0,0,0,0,0,0,0,0,304
0.17,0.27,0.69,0.015,0.027,0,0,0.13,0.006,0,0,0,0,0,0,0,0,0,0,293
0.2,0.03,0.68,0.019,0.022,0,0,0.008,0.005,0,0,0,0,0,0,0,0,0,0,282
0.2,0.04,0.61,0.012,0.027,0,0,0.126,0.0045,0,0,0,0,0,0,0,0,0,0,283
0.094,0.02,1.38,0.01,0.002,0,0,0.018,0.005,0,0,0,0,0,0,0,0,0,0,266
0.098,0.3,1.42,0.01,0.002,0,0,0.021,0.003,0,0,0,0,0,0,0,0,0,0,298
0.097,0.01,1.41,0.006,0.002,0,0,0.19,0.005,0,0,0,0,0,0,0,0,0,0,271
0.095,0.29,1.4,0.006,0.002,0,0,0.19,0.004,0,0,0,0,0,0,0,0,0,0,295
0.35,0.6,1.5,0.035,0.031,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,660
0.35,0.6,1.5,0.035,0.031,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,615
0.39,0.53,1.27,0.016,0.022,0,0,0.016,0.0048,0,0,0,0,0,0,0,0,0,0,490
0.39,0.53,1.27,0.016,0.022,0,0,0.016,0.0048,0,0,0,0,0,0,0,0,0,0,439
0.39,0.53,1.27,0.016,0.022,0,0,0.016,0.0048,0,0,0,0,0,0,0,0,0,0,459
0.38,0.52,1.28,0.016,0.027,0,0,0.007,0.0056,0,0.08,0,0,0,0,0,0,0,0,650
0.38,0.52,1.28,0.016,0.027,0,0,0.007,0.0056,0,0.08,0,0,0,0,0,0,0,0,563
0.38,0.52,1.28,0.016,0.027,0,0,0.007,0.0056,0,0.08,0,0,0,0,0,0,0,0,595
0.11,0.21,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285
0.06,0.11,0.28,0.012,0,0,0,0.02,0.0044,0,0,0,0,0,0,0,0,0,0,329
0.25,0.6,1,0.03,0.03,0.15,0.8,0,0,0,0.03,0,0,0.25,0,0,0,0,0,230
0.25,0.6,1,0.035,0.035,0.15,0.8,0,0,0,0.03,0,0,0.25,0,0,0,0,0,540
0.054,0.22,1.42,0.0053,0.0013,0.21,0.22,0.034,0.0045,0,0.032,0.0006,0.011,0.18,0,0,0,0,0,531
0.052,0.24,1.47,0.0068,0.0017,0.19,0.21,0.037,0.0062,0,0.026,0.0014,0.026,0.13,0,0,0,0,0,545
0.05,0.03,0.32,0.02,0.01,0,0,0.035,0.012,0,0.022,0,0,0,0,0,0,0,0,275
0.05,0.03,0.55,0.02,0.01,0,0,0.035,0.012,0,0.03,0,0,0,0,0,0,0,0,310
0.05,0.03,0.75,0.02,0.01,0,0,0.035,0.014,0,0.05,0,0,0,0,0,0,0,0,340
0.05,0.03,1.1,0.02,0.01,0,0,0.035,0.015,0,0.06,0,0,0,0,0,0,0,0,380
0.05,0.03,1.25,0.02,0.01,0,0,0.035,0.017,0,0.08,0,0,0,0,0,0,0,0,410
0.21,0.28,1.37,0.033,0.021,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,375
0.21,0.28,1.37,0.033,0.021,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,390
0.21,0.28,1.37,0.033,0.021,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,390
0.21,0.28,1.37,0.033,0.021,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,401
0.21,0.28,1.37,0.033,0.021,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,425
0.21,0.28,1.37,0.033,0.021,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,410
0.18,0.22,0.6,0.02,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340
0.18,0.22,0.6,0.02,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355
0.18,0.22,0.6,0.02,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370
0.18,0.22,0.6,0.02,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430
0.06,0,1.5,0,0,0,0,0,0,0.07,0.1,0,0.02,0,0,0,0,0,0,599
0.06,0,1.5,0,0,0,0,0,0,0.08,0,0,0.07,0,0,0,0,0,0,607
0.06,0.26,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490
0.06,0.27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,519
0.09,0.17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,520
0.21,0.29,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
0.38,0.2,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,575
0.193,0.19,1.35,0,0,0.482,0.922,0.009,0.005,0,0,0,0,0.128,0,0,0,0,0,434
0.2,0.185,1.42,0,0,0.485,0.926,0.013,0.014,0,0,0,0,0.127,0,0,0,0,0,465
0.198,0.201,1.36,0,0,0.484,0.928,0.019,0.015,0,0,0,0,0.127,0,0,0,0,0,479
0.085,0.33,1.38,0.012,0.008,0,0,0.03,0.007,0,0,0,0,0,0.02,0,0,0,0,472
0.085,0.33,1.38,0.012,0.008,0,0,0.03,0.007,0,0,0,0,0,0.02,0,0,0,0,572
0.085,0.33,1.38,0.012,0.008,0,0,0.03,0.007,0,0,0,0,0,0.02,0,0,0,0,747
0.085,0.33,1.38,0.012,0.008,0,0,0.03,0.007,0,0,0,0,0,0.02,0,0,0,0,497
0.085,0.33,1.38,0.012,0.008,0,0,0.03,0.007,0,0,0,0,0,0.02,0,0,0,0,616
0.085,0.33,1.38,0.012,0.008,0,0,0.03,0.007,0,0,0,0,0,0.02,0,0,0,0,723
0.085,0.33,1.38,0.012,0.008,0,0,0.03,0.007,0,0,0,0,0,0.02,0,0,0,0,502
0.085,0.33,1.38,0.012,0.008,0,0,0.03,0.007,0,0,0,0,0,0.02,0,0,0,0,573
0.085,0.33,1.38,0.012,0.008,0,0,0.03,0.007,0,0,0,0,0,0.02,0,0,0,0,747
0.085,0.33,1.38,0.012,0.008,0,0,0.03,0.007,0,0,0,0,0,0.02,0,0,0,0,747
0.085,0.33,1.38,0.012,0.008,0,0,0.03,0.007,0,0,0,0,0,0.02,0,0,0,0,616
0.085,0.33,1.38,0.012,0.008,0,0,0.03,0.007,0,0,0,0,0,0.02,0,0,0,0,502
0.085,0.33,1.38,0.012,0.008,0,0,0.03,0.007,0,0,0,0,0,0.02,0,0,0,0,497
0.1,0.35,1.34,0.007,0.012,0,0,0.04,0.004,0,0,0,0,0,0.02,0,0,0,0,327
0.1,0.35,1.34,0.007,0.012,0,0,0.04,0.004,0,0,0,0,0,0.02,0,0,0,0,522
0.1,0.35,1.34,0.007,0.012,0,0,0.04,0.004,0,0,0,0,0,0.02,0,0,0,0,508
0.1,0.35,1.34,0.007,0.012,0,0,0.04,0.004,0,0,0,0,0,0.02,0,0,0,0,508
0.1,0.35,1.34,0.007,0.012,0,0,0.04,0.004,0,0,0,0,0,0.02,0,0,0,0,522
0.098,0.25,1.3,0.001,0.0016,0,0,0.043,0.006,0,0,0,0,0,0.015,0,0,0,0,712
0.098,0.25,1.3,0.001,0.0016,0,0,0.043,0.006,0,0,0,0,0,0.015,0,0,0,0,602
0.35,0.27,1.56,0.016,0.016,0.03,0,0.026,0,0,0.17,0,0,0.14,0,0.27,0,0,0,648
0.35,0.27,1.56,0.016,0.016,0.03,0,0.026,0,0,0.17,0,0,0.14,0,0.27,0,0,0,692
0.34,0.32,1.2,0.012,0.013,0.03,0,0.04,0,0,0.17,0,0,0.12,0,0.22,0,0,0,559
0.34,0.32,1.2,0.012,0.013,0.03,0,0.04,0,0,0.17,0,0,0.12,0,0.22,0,0,0,604
0.193,0.19,1.35,0,0,0.482,0.922,0.009,0.005,0,0,0,0,0.128,0,0,0,0,0,434
0.2,0.185,1.42,0,0,0.485,0.926,0.013,0.014,0,0,0,0,0.127,0,0,0,0,0,465
0.198,0.201,1.36,0,0,0.484,0.928,0.019,0.015,0,0,0,0,0.127,0,0,0,0,0,479
0.21,0.28,1.37,0.033,0.021,0,0,0,0.0065,0,0,0,0,0,0,0,0,0,0,375
0.21,0.28,1.37,0.033,0.021,0,0,0,0.0065,0,0,0,0,0,0,0,0,0,0,390
0.21,0.28,1.37,0.033,0.021,0,0,0,0.0065,0,0,0,0,0,0,0,0,0,0,405
0.21,0.28,1.37,0.033,0.021,0,0,0,0.0065,0,0,0,0,0,0,0,0,0,0,390
0.21,0.28,1.37,0.033,0.021,0,0,0,0.0065,0,0,0,0,0,0,0,0,0,0,401
0.21,0.28,1.37,0.033,0.021,0,0,0,0.0065,0,0,0,0,0,0,0,0,0,0,479
0.21,0.28,1.37,0.033,0.021,0,0,0,0.0065,0,0,0,0,0,0,0,0,0,0,425
0.21,0.28,1.37,0.033,0.021,0,0,0,0.0065,0,0,0,0,0,0,0,0,0,0,410
0.21,0.28,1.37,0.033,0.021,0,0,0,0.0065,0,0,0,0,0,0,0,0,0,0,502
0.0012,0,0.045,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150
0.19,0.33,1.43,0.022,0.016,0,0,0.016,0,0,0.1,0,0.001,0,0,0,0,0,0,601
0.19,0.42,1.32,0.024,0.028,0,0,0.022,0,0,0.12,0,0.023,0,0,0,0,0,0,532
0.27,0.35,1.4,0.012,0.009,0.02,0.08,0.025,0.016,0,0.2,0,0,0.22,0,0.09,0,0,0,694
0.25,0.33,1.4,0.022,0.03,0.018,0.011,0,0,0,0,0,0,0.15,0,0,0,0,0,564
0.25,0.33,1.4,0.022,0.03,0.018,0.011,0,0,0,0,0,0,0.15,0,0,0,0,0,742
0.4,0.56,1.49,0.016,0.042,0,0,0,0.009,0,0.114,0,0.014,0,0,0,0,0,0,674
0.4,0.56,1.49,0.016,0.042,0,0,0,0.009,0,0.114,0,0.014,0,0,0,0,0,0,681
0.4,0.56,1.49,0.016,0.042,0,0,0,0.009,0,0.114,0,0.014,0,0,0,0,0,0,714
0.24,0.06,0.3,0.005,0.009,0.19,3.12,0,0,0,0.11,0,0,1.5,0,0,0,0,0,637
0.24,0.06,0.3,0.005,0.009,0.19,3.12,0,0,0,0.11,0,0,1.5,0,0,0,0,0,609.56
0.19,0.21,1.28,0.012,0.013,0.52,0.64,0,0,0,0,0,0,0,0,0,0,0,0,450
0.15,0.18,0.33,0.012,0.013,0.37,2.55,0,0,0,0,0,0,1.66,0,0.033,0,0,0,614
0.12,0.21,1.27,0.01,0.01,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,351
0.13,0.15,1.15,0.01,0.01,0,0,0.04,0,0,0.09,0,0,0,0,0,0,0,0,394
0.12,0.21,1.12,0.01,0.01,0,0,0.02,0,0,0,0,0.08,0,0,0,0,0,0,456.5
0.11,0.21,1.3,0.01,0.01,0,0,0.05,0,0,0.07,0,0.07,0,0,0,0,0,0,439.2
0.17,0.23,1.33,0.01,0.007,0.03,0.14,0.02,0,0,0,0,0,0.09,0,0.17,0,0,0,371
0.15,0.26,1.33,0.01,0.034,0.03,0.15,0.02,0,0,0,0,0,0.1,0,0.17,0,0,0,364
0.1,0.34,1.33,0.011,0.008,0.01,0.05,0.06,0,0,0,0,0,0.06,0.015,0.07,0,0,0,342
0.193,0.19,1.35,0,0,0.482,0.922,0.009,0,0,0,0,0,0.128,0,0,0,0,0,434
0.099,0.196,0.701,0,0,0.962,2.5,0.023,0,0,0,0,0,0.143,0,0,0,0,0,508
0.06,0.22,1.55,0,0,1,1.46,0.023,0,0,0,0,0,0.15,0,0,0,0,0,426
0.18,0.24,1.42,0.017,0.004,0,0.84,0.014,0,0,0,0,0,0.12,0,0.14,0,0,0,484
0.18,0.08,1.43,0.008,0.003,0,0.78,0.005,0,0,0,0,0,0.04,0,0.06,0,0,0,408
0.18,0.1,1.46,0.006,0.003,0,0.86,0.018,0,0,0,0,0,0.15,0,0.03,0,0,0,430
0.21,0.24,1.36,0.007,0.002,0,0.92,0.022,0,0,0,0,0,0.21,0,0.03,0,0,0,447
0.17,0.25,1.44,0.004,0.002,0,0.75,0.016,0,0,0,0,0,0.2,0,0.01,0,0,0,468
0.069,0.11,1.45,0.009,0.003,0,0.5,0.007,0.0058,0,0,0.0024,0.011,0,0,0,0,0,0,308
0.08,0.11,1.44,0.01,0.004,0,0.51,0.006,0.0085,0,0,0.0025,0.012,0,0,0,0,0,0,310
0.062,0.1,1.46,0.01,0.004,0,0.51,0,0.006,0,0,0.0025,0.01,0,0,0,0,0,0,289
0.15,0.3,1.38,0.011,0.007,0,0,0.038,0.0051,0,0.05,0,0,0,0,0.25,0,0,0,369
0.15,0.31,1.38,0.009,0.009,0,0,0.037,0.0053,0,0.05,0,0,0,0,0.02,0,0,0,332
0.15,0.3,1.38,0.01,0.006,0,0,0.039,0.0045,0,0.06,0,0,0,0,0.02,0,0,0,344
0.15,0.31,1.4,0.01,0.007,0,0,0.036,0.0054,0,0.06,0,0,0,0,0.02,0,0,0,344
0.16,0.31,1.38,0.011,0.007,0,0,0.038,0.0056,0,0.05,0,0,0,0,0.02,0,0,0,360
0.16,0.31,1.37,0.009,0.009,0,0,0.038,0.0049,0,0.05,0,0,0,0,0.02,0,0,0,358
0.066,0.33,1.46,0.013,0.003,0.2,0,0.043,0.004,0,0.05,0,0,0,0,0,0,0,0,411
0.062,0.3,1.45,0.013,0.004,0.2,0,0.039,0.0038,0,0,0,0,0.2,0,0,0,0,0,371
0.068,0.1,1.43,0.009,0.002,0,0.5,0.005,0.0079,0,0,0.0023,0.1,0,0,0,0,0,0,341
0.071,0.1,1.45,0.005,0.003,0,0.5,0,0.0046,0,0,0.0022,0.01,0,0,0,0,0,0,349
0.063,0.1,1.43,0.007,0.003,0,0.51,0,0.0058,0,0,0.0025,0.01,0,0,0,0,0,0,317
0.068,0.1,1.45,0.008,0.004,0,0.51,0,0.0047,0,0,0.0022,0.01,0,0,0,0,0,0,312
0.071,0.1,1.45,0.007,0.004,0,0.51,0.006,0.0065,0,0,0.0022,0.01,0,0,0,0,0,0,307
0.097,0.29,1.45,0.014,0.004,0,0.31,0.029,0.007,0,0.1,0,0.0005,0,0,0,0,0,0,414
0.1,0.29,1.43,0.016,0.002,0,0.31,0.03,0.007,0,0.1,0,0.012,0,0,0,0,0,0,417
0.087,0.3,1.45,0.013,0.003,0,0.89,0.028,0.007,0,0.08,0,0.001,0,0,0.3,0,0,0,421
0.062,0.1,1.45,0.009,0.003,0,0.5,0,0.0058,0,0,0.0024,0.009,0,0,0,0,0,0,320
0.063,0.1,1.45,0.009,0.004,0,0.5,0.005,0.0043,0,0,0.0024,0.009,0,0,0,0,0,0,399
0.066,0.11,1.46,0.008,0.004,0,0.51,0.005,0.0063,0,0,0.0024,0.01,0,0,0,0,0,0,438
0.068,0.1,1.46,0.007,0.004,0,0.5,0,0.0077,0,0,0.0024,0.011,0,0,0,0,0,0,351
0.069,0.36,1.55,0.011,0.003,0,0,0.035,0.0052,0,0,0,0,0,0,0,0,0,0,324
0.069,0.36,1.55,0.011,0.003,0,0,0.035,0.0052,0,0,0,0,0,0,0,0,0,0,312
0.078,0.4,1.5,0.009,0.003,0,0,0.036,0.0049,0,0,0,0.015,0,0,0,0,0,0,383
0.078,0.4,1.5,0.009,0.003,0,0,0.036,0.0049,0,0,0,0.015,0,0,0,0,0,0,361
0.078,0.4,1.5,0.009,0.003,0,0,0.036,0.0049,0,0,0,0.015,0,0,0,0,0,0,358
0.15,0.3,1.38,0.011,0.007,0,0,0.038,0.0051,0,0.05,0,0,0,0,0.25,0,0,0,369
0.15,0.31,1.38,0.009,0.009,0,0,0.037,0.0053,0,0.05,0,0,0,0,0.02,0,0,0,332
0.15,0.3,1.38,0.01,0.006,0,0,0.039,0.0045,0,0.06,0,0,0,0,0.02,0,0,0,344
0.15,0.31,1.4,0.01,0.007,0,0,0.036,0.0054,0,0.06,0,0,0,0,0.02,0,0,0,344
0.16,0.31,1.38,0.011,0.007,0,0,0.038,0.0056,0,0.05,0,0,0,0,0.02,0,0,0,360
0.16,0.31,1.37,0.009,0.009,0,0,0.038,0.0049,0,0.05,0,0,0,0,0.02,0,0,0,358
0.22,0.35,1.13,0.013,0.011,0.002,0.025,0.043,0.005,0.001,0.002,0.0001,0.002,0.028,0,0.039,0,0,0,374
0.15,0.26,1.08,0.008,0.008,0.001,0.018,0.039,0.006,0.001,0.003,0.0001,0.001,0.017,0,0.009,0,0,0,298
